자치구,카메라대수,세대수,인구수,남자,여자,비율,오차
강서구,32,52734,133231,70551,62680,0.024018434148208753,12.738282872564326
금정구,37,107073,245670,119807,125863,0.015060853991126307,8.799842843975824
기장군,28,68892,167231,83267,83964,0.01674330716194964,6.035422112756706
남구,33,118024,283267,138888,144379,0.011649786244073613,1.8110353149614937
동구,12,44075,89692,44103,45589,0.01337911965392677,3.8005449326926133
동래구,55,111162,271004,132109,138895,0.020294903396259834,24.78589359430034
부산진구,43,166434,362296,175453,186843,0.0118687482058869,5.52855346240748
북구,22,119578,294030,145690,148340,0.0074822297044519264,10.044579107327017
사상구,21,96926,225751,114243,111508,0.00930228437526301,5.6166782303004155
사하구,29,138817,327956,164143,163813,0.008842649623730013,5.741557170186823
서구,14,52914,111044,54263,56781,0.012607614999459674,3.4979414898517973
수영구,14,81323,178484,84716,93768,0.007843840344232536,8.859145302834918
연제구,13,89916,210393,101605,108788,0.006178912796528401,12.39578012591437
영도구,19,55018,119602,59289,60313,0.01588602197287671,0.8217325577236849
중구,9,23093,44223,21987,22236,0.020351400854758835,3.1859456418781207
해운대구,34,168095,411445,198642,212803,0.008263558920390332,7.37859075770384
