구군,동수 (개소),세대수 (세대),인구수 (명),남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
중구,9,"23,093","44,223","21,987","22,236",1.272487504,2.83,"15,627"
서구,13,"52,914","111,044","54,263","56,781",3.195217475,13.98,"7,943"
동구,12,"44,075","89,692","44,103","45,589",2.580827832,9.74,"9,209"
영도구,11,"55,018","119,602","59,289","60,313",3.441468251,14.2,"8,423"
부산진구,20,"166,434","362,296","175,453","186,843",10.42482719,29.67,"12,211"
동래구,13,"111,162","271,004","132,109","138,895",7.797960417,16.63,"16,296"
남구,17,"118,024","283,267","138,888","144,379",8.150820112,26.81,"10,566"
북구,13,"119,578","294,030","145,690","148,340",8.460518301,39.37,"7,468"
해운대구,18,"168,095","411,445","198,642","212,803",11.83905708,51.47,"7,994"
사하구,16,"138,817","327,956","164,143","163,813",9.436716457,41.77,"7,851"
금정구,17,"107,073","245,670","119,807","125,863",7.068991365,65.28,"3,763"
강서구,8,"52,734","133,231","70,551","62,680",3.833633689,181.49,734
연제구,12,"89,916","210,393","101,605","108,788",6.053919079,12.1,"17,388"
수영구,10,"81,323","178,484","84,716","93,768",5.135758761,10.21,"17,481"
사상구,12,"96,926","225,751","114,243","111,508",6.495835346,36.09,"6,255"
기장군,5,"68,892","167,231","83,267","83,964",4.811961147,218.3,766
